time,y_test,y_pred,all
2021-12-16 02:00:00,18006KT CAVOK 06/04 Q1024,18005kt 150v210 cavok 08 00 q1025 nosig,15007kt 9999 prec0n CL0 CM0 09 04 q1025 18005kt 150v210 cavok 08 00 q1025 nosig bkn010 sct030tcu 08 08
2022-06-19 14:00:00,32016G28KT 290V020 7000 -SHRA FEW015 FEW020TCU BKN030 15/12 Q1013 TEMPO 4000 SHRA,33013kt 290v020 2200 ra br sct022 bkn023 14 13 q1013 tempo,30015kt 8000 prec0y CL8 CM8 15 13 q1012 33013kt 290v020 2200 ra br sct022 bkn023 14 13 q1013 tempo
2018-07-29 03:00:00,16004KT 130V240 9999 NCD 14/12 Q1016,17005kt 9999 bkn032 14 13 q1016 nosig,19005kt 9999 prec0n CL0 CM0 13 12 q1016 17005kt 9999 bkn032 14 13 q1016 nosig nosig vv001 15 13
2019-07-16 01:00:00,36008KT 330V050 9000 BKN012 17/16 Q1019,36005kt 320v050 9999 few006 ovc018 17 16 q1019 tempo 4000 br,36005kt 500 prec0n CL4 CM0 15 15 q1019 36005kt 320v050 9999 few006 ovc018 17 16 q1019 tempo 4000 br
2019-07-17 23:00:00,VRB02KT 9999 FEW030 16/14 Q1021 NOSIG,vrb01kt 9999 4800n ra few037 12 10 q1020 tempo 3000 shra,32001kt 9999 prec0n CL1 CM0 12 12 q1021 vrb01kt 9999 4800n ra few037 12 10 q1020 tempo 3000 shra
2019-10-22 06:00:00,18004KT 0150 R21/0700D R03/0450N FG VV001 03/03 Q1019 TEMPO 1500 BCFG,16004kt 4700 br sct025 sct031 ovc040 08 08 q1021 tempo 3000,16003kt 9999 prec0n CL0 CM0 06 06 q1019 16004kt 4700 br sct025 sct031 ovc040 08 08 q1021 tempo 3000
2019-01-01 07:00:00,19004KT CAVOK 02/M00 Q1031 NOSIG,vrb02kt cavok 06 03 q1031 nosig,25001kt 9999 prec0n CL0 CM0 06 03 q1032 vrb02kt cavok 06 03 q1031 nosig 4000 vv001 06 06 q1028
2022-11-04 05:00:00,VRB01KT 9999 FEW037 SCT048 12/09 Q1023 NOSIG,31003kt 230v010 9999 sct020 bkn040 13 10 q1024 nosig,28005kt 9999 prec0n CL4 CM0 13 09 q1023 31003kt 230v010 9999 sct020 bkn040 13 10 q1024 nosig bkn010 bkn030
2018-10-18 09:00:00,03006KT 330V060 9999 FEW020 SCT040 16/13 Q1018 NOSIG,01005kt 310v060 9999 ovc024 17 14 q1018 nosig,02007kt 9999 prec0n CL1 CM0 16 13 q1017 01005kt 310v060 9999 ovc024 17 14 q1018 nosig sct020 15 14
2020-10-10 10:00:00,06008KT 010V100 9999 FEW037 17/12 Q1031 NOSIG,36003kt 300v050 cavok 18 12 q1030 nosig,04009kt 9999 prec0n CL0 CM0 17 11 q1031 36003kt 300v050 cavok 18 12 q1030 nosig 3000 br bkn005 bkn008
2021-12-11 16:00:00,VRB02KT 9999 BKN027 15/10 Q1027 NOSIG,29007kt 250v330 9999 few025 sct034 13 10 q1027 nosig,29005kt 9999 prec0n CL1 CM0 13 11 q1027 29007kt 250v330 9999 few025 sct034 13 10 q1027 nosig 4000 bkn001
2018-05-19 05:00:00,00000KT CAVOK 12/11 Q1017 NOSIG,vrb01kt 0250 r21 0600n r03 0400n fg few001 11 10 q1017,13003kt 9999 prec0n CL0 CM0 09 09 q1017 vrb01kt 0250 r21 0600n r03 0400n fg few001 11 10 q1017
2022-10-19 08:00:00,18014KT 140V210 9999 -DZ FEW013 FEW025TCU 17/14 Q1007 TEMPO 3000 SHRA SCT030TCU,18007kt 150v210 9999 few020 14 12 q1010 tempo 3000 ra bkn014,18011kt 9999 prec0y CL0 CM3 15 11 q1008 18007kt 150v210 9999 few020 14 12 q1010 tempo 3000 ra bkn014
