time,y_test,y_pred,all
2022-03-26 06:00:00,28003KT 200V350 CAVOK 15/07 Q1015 NOSIG,23006kt cavok 12 07 q1015 nosig,10009kt 9999 prec0n CL0 CM0 11 07 q1016 23006kt cavok 12 07 q1015 nosig q1016 nosig q1011 3000 ra
2021-02-11 23:00:00,VRB06KT 1500 +RA BCFG BKN007 BKN010 BKN034 12/12 Q1014 TEMPO 5000 -RA,23010kt 190v260 3000 ra br bkn003 bkn009 13 13 q1017 tempo,25011kt 500 prec0y CL6 CM0 12 12 q1017 23010kt 190v260 3000 ra br bkn003 bkn009 13 13 q1017 tempo
2018-09-04 23:00:00,34003KT 310V010 CAVOK 17/15 Q1014 TEMPO TSRA SCT030CB,vrb02kt cavok 21 16 q1013 nosig,02001kt 9999 prec0n CL0 CM0 17 16 q1013 vrb02kt cavok 21 16 q1013 nosig q1014 nosig 1500 bcfg bkn002
2021-08-25 22:00:00,00000KT CAVOK 19/17 Q1014 TEMPO 3000 BCFG BKN005,vrb01kt cavok 21 18 q1014 nosig,11003kt 9999 prec0n CL0 CM0 18 17 q1013 vrb01kt cavok 21 18 q1014 nosig q1013 nosig 1500 ra sct005
2018-08-23 01:00:00,34004KT 290V010 9000 NSC 17/16 Q1018 NOSIG,vrb02kt cavok 20 16 q1018 nosig,06001kt 9999 prec0n CL0 CM0 17 15 q1018 vrb02kt cavok 20 16 q1018 nosig q1017 nosig 16 tempo 33007kt
2021-04-28 20:00:00,02012KT 350V060 9999 FEW050 12/06 Q1008 NOSIG,03008kt 330v090 9999 vcts few043cb 09 06 q1009 nosig,01015kt 9999 prec0n CL0 CM0 10 06 q1009 03008kt 330v090 9999 vcts few043cb 09 06 q1009 nosig tempo nsw
2019-01-10 22:00:00,27003KT 240V300 CAVOK 06/01 Q1023 NOSIG,23005kt 200v260 cavok 07 02 q1026 nosig,12005kt 9999 prec0n CL0 CM0 07 03 q1027 23005kt 200v260 cavok 07 02 q1026 nosig q1026 02 02 01
2022-04-26 16:00:00,20011KT 150V230 9999 BKN012 SCT030TCU 15/13 Q1012 TEMPO 3000 RA,vrb08kt 9999 bkn018 13 10 q1012 nosig,24009kt 9999 prec0n CL3 CM0 17 10 q1012 vrb08kt 9999 bkn018 13 10 q1012 nosig q1014 nosig 1400 r19
2022-09-03 13:00:00,30009KT 270V340 9999 SCT040 21/10 Q1016 NOSIG,07005kt 340v150 9999 few040 20 11 q1015 nosig,27011kt 9999 prec0n CL0 CM0 20 13 q1016 07005kt 340v150 9999 few040 20 11 q1015 nosig nosig shra 3000
2022-12-17 17:00:00,22006KT CAVOK 12/07 Q1018 NOSIG,19005kt 150v220 9999 sct021 bkn048 11 09 q1019 nosig,17003kt 9999 prec0n CL3 CM0 10 10 q1019 19005kt 150v220 9999 sct021 bkn048 11 09 q1019 nosig q1016 nosig
2020-02-23 13:00:00,19004KT 130V220 CAVOK 19/09 Q1033 NOSIG,20003kt 170v230 cavok 15 11 q1033 nosig,16003kt 9999 prec0n CL0 CM0 18 07 q1033 20003kt 170v230 cavok 15 11 q1033 nosig 2000 br bkn005 bkn010
2019-09-24 03:00:00,19008KT 140V220 0800 R19/1900D R01/0500N RA BCFG VV001 17/17 Q1016 NOSIG,19009kt 110v230 0500 r19 p2000 r01 0750d ra fg ovc004 ovc007,19011kt 3000 prec0y CL7 CM5 17 16 q1017 19009kt 110v230 0500 r19 p2000 r01 0750d ra fg ovc004 ovc007
2018-12-29 23:00:00,24006KT 210V280 CAVOK 07/06 Q1029 NOSIG,02008kt 350v050 cavok 10 02 q1029 nosig,05007kt 9999 prec0n CL0 CM0 09 03 q1031 02008kt 350v050 cavok 10 02 q1029 nosig q1026 nosig 2000 bcfg
2020-04-13 21:00:00,VRB02KT CAVOK 09/09 Q1010 NOSIG,31003kt cavok 08 07 q1008 nosig,32003kt 9999 prec0n CL0 CM1 10 07 q1010 31003kt cavok 08 07 q1008 nosig q1009 nosig shra sct030cb bkn030
2021-07-22 07:00:00,25003KT 220V300 3000 BR BKN004 BKN008 16/16 Q1018 NOSIG,vrb02kt cavok 20 16 q1018 nosig,21001kt 9999 prec0n CL0 CM0 16 15 q1018 vrb02kt cavok 20 16 q1018 nosig q1016 nosig q1018 nosig 2000
2020-08-20 10:00:00,VRB04KT 9999 FEW018 20/15 Q1008 NOSIG,21005kt 140v250 cavok 19 12 q1008 nosig,16005kt 9999 prec0n CL0 CM0 19 12 q1008 21005kt 140v250 cavok 19 12 q1008 nosig tempo sct030cb sct030tcu 18
2020-06-07 13:00:00,03011KT 340V080 9999 SCT050 18/06 Q1014 NOSIG,35008kt 320v020 cavok 20 07 q1014 nosig,35011kt 9999 prec0n CL0 CM0 19 09 q1015 35008kt 320v020 cavok 20 07 q1014 nosig nosig nosig 3000 ra
2019-06-20 16:00:00,27010KT 230V300 9999 SCT029 19/13 Q1016 NOSIG,28009kt 250v320 9999 few040 21 15 q1016 nosig,31009kt 9999 prec0n CL4 CM1 20 14 q1016 28009kt 250v320 9999 few040 21 15 q1016 nosig nosig nosig 2000
2020-05-08 06:00:00,19004KT 100V250 5000 BR BKN003 OVC007 14/14 Q1013 TEMPO 0350 FG,vrb01kt 9999 few040 14 12 q1011 nosig,14003kt 9999 prec0n CL0 CM0 11 11 q1012 vrb01kt 9999 few040 14 12 q1011 nosig q1009 nosig 14 nosig
2018-12-05 23:00:00,20004KT 160V240 0100 R19/0450N R01/0300N BCFG -RA VV001 13/13 Q1029 TEMPO 0600,22006kt 190v250 5000 bcfg sct002 13 12 q1029 tempo 3000 br,16003kt 3000 prec0y CL0 CM0 12 12 q1030 22006kt 190v250 5000 bcfg sct002 13 12 q1029 tempo 3000 br
2018-02-07 04:00:00,VRB03KT CAVOK 02/01 Q1020 NOSIG,04011g24kt 010v070 9999 few050 03 m00 q1020 nosig,00011kt 9999 prec0n CL0 CM0 03 00 q1021 04011g24kt 010v070 9999 few050 03 m00 q1020 nosig tempo nsw ovc023
2021-08-11 03:00:00,00000KT CAVOK 17/16 Q1017 NOSIG,vrb01kt cavok 16 14 q1017 nosig,31003kt 9999 prec0n CL0 CM0 14 13 q1017 vrb01kt cavok 16 14 q1017 nosig q1017 nosig 2000 bcfg bkn003
2019-04-05 06:00:00,19008KT 150V210 9999 0800E -RA BCFG FEW002 BKN031 04/03 Q0997 TEMPO 0800 BCFG BKN002,20010kt 150v230 9999 shra sct015tcu r01 0650d few004 03 02 q1000,18009kt 9999 prec0n CL0 CM0 05 03 q0997 20010kt 150v230 9999 shra sct015tcu r01 0650d few004 03 02 q1000
2020-07-10 22:00:00,02011KT 350V070 CAVOK 19/12 Q1017 NOSIG,03006kt 350v080 cavok 17 12 q1018 nosig,01009kt 9999 prec0n CL0 CM0 17 11 q1018 03006kt 350v080 cavok 17 12 q1018 nosig q1019 nosig 2000 ra
2021-09-08 13:00:00,26011KT 230V300 9999 SCT013 SCT025TCU 21/19 Q1015 NOSIG,24008kt 200v290 9999 sct007 bkn022 20 18 q1016 becmg ovc013 nsw,26011kt 9999 prec0n CL5 CM3 21 17 q1015 24008kt 200v290 9999 sct007 bkn022 20 18 q1016 becmg ovc013 nsw
2022-10-09 23:00:00,19009KT 150V230 1100 R19/P2000 R01/1100U RA VV001 14/14 Q1016 TEMPO 9999 NSW,20007kt 9999 few014 bkn040 15 15 q1016 tempo 3000 br bkn010,14005kt 9999 prec0n CL6 CM4 14 13 q1016 20007kt 9999 few014 bkn040 15 15 q1016 tempo 3000 br bkn010
2021-04-06 06:00:00,20006KT 160V240 CAVOK 08/07 Q1015 NOSIG,vrb02kt cavok 10 06 q1015 nosig,17005kt 9999 prec0n CL0 CM0 08 06 q1016 vrb02kt cavok 10 06 q1015 nosig q1015 nosig 1500 bcfg bkn003
2020-02-23 05:00:00,24004KT 200V270 CAVOK 10/07 Q1032 NOSIG,24004kt cavok 08 04 q1029 nosig,26001kt 9999 prec0n CL0 CM0 08 04 q1032 24004kt cavok 08 04 q1029 nosig q1030 nosig q1026 nosig 1500n
2022-06-22 11:00:00,33003KT 280V030 9999 SCT020 SCT040 19/13 Q1013 NOSIG,vrb03kt 9999 bkn015 bkn048 17 14 q1012 nosig,01005kt 9999 prec0n CL3 CM1 21 12 q1012 vrb03kt 9999 bkn015 bkn048 17 14 q1012 nosig nosig q1017 0500
2018-04-20 02:00:00,VRB01KT CAVOK 14/11 Q1016 NOSIG,vrb02kt cavok 13 11 q1017 nosig,12003kt 9999 prec0n CL0 CM0 12 10 q1017 vrb02kt cavok 13 11 q1017 nosig q1018 nosig 2000 bcfg bkn002
2020-10-26 07:00:00,20006KT 170V230 0100 R19/0450D R01/0375N FG VV001 07/07 Q1019 TEMPO 1000 BCFG,23005kt cavok 09 08 q1018 nosig,16003kt 9999 prec0n CL0 CM0 08 07 q1019 23005kt cavok 09 08 q1018 nosig q1019 nosig 2000 bcfg ra
